day, date, avg, avgh, avgl, hi, hih, hil, lo, loh, lol, precip
0, 2010-01-01, 49.1, 53.8, 44.4, 57, 61.6, 52.4, 41.3, 47.2, 35.4, 34.1
1, 2010-01-02, 49.1, 53.8, 44.4, 57, 61.6, 52.4, 41.3, 47.2, 35.4, 34.2
2, 2010-01-03, 49.2, 53.9, 44.5, 57, 61.6, 52.4, 41.3, 47.2, 35.4, 34.3
3, 2010-01-04, 49.2, 53.8, 44.6, 57, 61.6, 52.4, 41.3, 47.1, 35.5, 34.3
4, 2010-01-05, 49.2, 53.8, 44.6, 57, 61.6, 52.4, 41.4, 47.2, 35.6, 34.3
5, 2010-01-06, 49.2, 53.8, 44.6, 57, 61.6, 52.4, 41.4, 47.2, 35.6, 34.3
6, 2010-01-07, 49.2, 53.8, 44.6, 57, 61.6, 52.4, 41.4, 47.1, 35.7, 34.3
7, 2010-01-08, 49.3, 53.8, 44.8, 57.1, 61.7, 52.5, 41.5, 47.2, 35.8, 34.3
8, 2010-01-09, 49.3, 53.8, 44.8, 57.1, 61.7, 52.5, 41.5, 47.1, 35.9, 34.2
9, 2010-01-10, 49.3, 53.8, 44.8, 57.1, 61.7, 52.5, 41.6, 47.2, 36, 34.2
10, 2010-01-11, 49.4, 53.8, 45, 57.2, 61.8, 52.6, 41.6, 47.2, 36, 34.2
11, 2010-01-12, 49.4, 53.8, 45, 57.2, 61.8, 52.6, 41.7, 47.2, 36.2, 34.3
12, 2010-01-13, 49.5, 53.9, 45.1, 57.2, 61.8, 52.6, 41.7, 47.2, 36.2, 34.3
13, 2010-01-14, 49.5, 53.8, 45.2, 57.3, 61.9, 52.7, 41.8, 47.2, 36.4, 34.4
14, 2010-01-15, 49.6, 53.9, 45.3, 57.3, 61.9, 52.7, 41.9, 47.3, 36.5, 34.5
15, 2010-01-16, 49.7, 54, 45.4, 57.4, 62, 52.8, 41.9, 47.3, 36.5, 34.6
16, 2010-01-17, 49.7, 54, 45.4, 57.5, 62.1, 52.9, 42, 47.3, 36.7, 34.7
17, 2010-01-18, 49.8, 54.1, 45.5, 57.5, 62.1, 52.9, 42.1, 47.4, 36.8, 34.8
18, 2010-01-19, 49.9, 54.2, 45.6, 57.6, 62.2, 53, 42.2, 47.5, 36.9, 34.8
19, 2010-01-20, 50, 54.3, 45.7, 57.7, 62.3, 53.1, 42.3, 47.6, 37, 34.9
20, 2010-01-21, 50.1, 54.4, 45.8, 57.8, 62.4, 53.2, 42.4, 47.7, 37.1, 35.1
21, 2010-01-22, 50.2, 54.5, 45.9, 57.9, 62.5, 53.3, 42.5, 47.8, 37.2, 35.2
22, 2010-01-23, 50.3, 54.6, 46, 58, 62.6, 53.4, 42.6, 47.9, 37.3, 35.3
23, 2010-01-24, 50.4, 54.7, 46.1, 58.1, 62.8, 53.4, 42.7, 48, 37.4, 35.4
24, 2010-01-25, 50.5, 54.8, 46.2, 58.2, 62.9, 53.5, 42.8, 48.1, 37.5, 35.4
25, 2010-01-26, 50.6, 54.9, 46.3, 58.3, 63, 53.6, 42.9, 48.2, 37.6, 35.4
26, 2010-01-27, 50.7, 55, 46.4, 58.4, 63.1, 53.7, 43, 48.3, 37.7, 35.4
27, 2010-01-28, 50.8, 55.1, 46.5, 58.5, 63.2, 53.8, 43.1, 48.4, 37.8, 35.4
28, 2010-01-29, 50.9, 55.2, 46.6, 58.6, 63.3, 53.9, 43.2, 48.5, 37.9, 35.3
29, 2010-01-30, 51.1, 55.5, 46.7, 58.8, 63.5, 54.1, 43.4, 48.7, 38.1, 35.3
30, 2010-01-31, 51.2, 55.6, 46.8, 58.9, 63.7, 54.1, 43.5, 48.8, 38.2, 35.2
31, 2010-02-01, 51.3, 55.7, 46.9, 59, 63.8, 54.2, 43.6, 48.9, 38.3, 35.1
32, 2010-02-02, 51.5, 55.9, 47.1, 59.2, 64, 54.4, 43.7, 49, 38.4, 35.1
33, 2010-02-03, 51.6, 56, 47.2, 59.3, 64.1, 54.5, 43.8, 49.1, 38.5, 35.1
34, 2010-02-04, 51.7, 56.1, 47.3, 59.5, 64.3, 54.7, 44, 49.2, 38.8, 35.2
35, 2010-02-05, 51.9, 56.3, 47.5, 59.6, 64.4, 54.8, 44.1, 49.3, 38.9, 35.3
36, 2010-02-06, 52, 56.4, 47.6, 59.8, 64.7, 54.9, 44.2, 49.4, 39, 35.4
37, 2010-02-07, 52.1, 56.5, 47.7, 59.9, 64.8, 55, 44.3, 49.5, 39.1, 35.6
38, 2010-02-08, 52.3, 56.8, 47.8, 60.1, 65, 55.2, 44.5, 49.7, 39.3, 35.7
39, 2010-02-09, 52.4, 56.9, 47.9, 60.2, 65.1, 55.3, 44.6, 49.8, 39.4, 35.8
40, 2010-02-10, 52.6, 57.1, 48.1, 60.4, 65.4, 55.4, 44.7, 49.9, 39.5, 35.9
41, 2010-02-11, 52.7, 57.2, 48.2, 60.6, 65.6, 55.6, 44.8, 49.9, 39.7, 35.9
42, 2010-02-12, 52.8, 57.3, 48.3, 60.7, 65.7, 55.7, 45, 50.1, 39.9, 36
43, 2010-02-13, 53, 57.5, 48.5, 60.9, 66, 55.8, 45.1, 50.2, 40, 36
44, 2010-02-14, 53.1, 57.6, 48.6, 61, 66.1, 55.9, 45.2, 50.2, 40.2, 36.1
45, 2010-02-15, 53.3, 57.8, 48.8, 61.2, 66.3, 56.1, 45.3, 50.3, 40.3, 36.1
46, 2010-02-16, 53.4, 57.9, 48.9, 61.4, 66.5, 56.3, 45.4, 50.4, 40.4, 36.1
47, 2010-02-17, 53.5, 58, 49, 61.5, 66.7, 56.3, 45.5, 50.4, 40.6, 36.1
48, 2010-02-18, 53.7, 58.2, 49.2, 61.7, 66.9, 56.5, 45.7, 50.6, 40.8, 36.1
49, 2010-02-19, 53.8, 58.3, 49.3, 61.8, 67, 56.6, 45.8, 50.7, 40.9, 36
50, 2010-02-20, 53.9, 58.4, 49.4, 62, 67.2, 56.8, 45.9, 50.8, 41, 36
51, 2010-02-21, 54, 58.5, 49.5, 62.1, 67.4, 56.8, 46, 50.9, 41.1, 35.9
52, 2010-02-22, 54.2, 58.7, 49.7, 62.3, 67.6, 57, 46.1, 50.9, 41.3, 35.7
53, 2010-02-23, 54.3, 58.8, 49.8, 62.4, 67.7, 57.1, 46.2, 51, 41.4, 35.6
54, 2010-02-24, 54.4, 58.9, 49.9, 62.6, 67.9, 57.3, 46.3, 51.1, 41.5, 35.5
55, 2010-02-25, 54.5, 59, 50, 62.7, 68.1, 57.3, 46.4, 51.2, 41.6, 35.5
56, 2010-02-26, 54.6, 59.1, 50.1, 62.8, 68.2, 57.4, 46.4, 51.1, 41.7, 35.4
57, 2010-02-27, 54.7, 59.2, 50.2, 62.9, 68.4, 57.4, 46.5, 51.2, 41.8, 35.3
58, 2010-02-28, 54.8, 59.3, 50.3, 63.1, 68.6, 57.6, 46.6, 51.3, 41.9, 35.2
59, 2010-03-01, 54.9, 59.4, 50.4, 63.2, 68.7, 57.7, 46.7, 51.4, 42, 35
60, 2010-03-02, 55, 59.5, 50.5, 63.3, 68.9, 57.7, 46.8, 51.4, 42.2, 34.9
61, 2010-03-03, 55.1, 59.6, 50.6, 63.4, 69, 57.8, 46.9, 51.5, 42.3, 34.6
62, 2010-03-04, 55.2, 59.7, 50.7, 63.5, 69.1, 57.9, 46.9, 51.5, 42.3, 34.3
63, 2010-03-05, 55.3, 59.8, 50.8, 63.6, 69.3, 57.9, 47, 51.6, 42.4, 34
64, 2010-03-06, 55.4, 59.9, 50.9, 63.7, 69.4, 58, 47.1, 51.6, 42.6, 33.6
65, 2010-03-07, 55.5, 60, 51, 63.8, 69.5, 58.1, 47.1, 51.6, 42.6, 33.2
66, 2010-03-08, 55.6, 60.1, 51.1, 63.9, 69.7, 58.1, 47.2, 51.7, 42.7, 32.8
67, 2010-03-09, 55.6, 60.2, 51, 64, 69.8, 58.2, 47.3, 51.8, 42.8, 32.4
68, 2010-03-10, 55.7, 60.3, 51.1, 64.1, 69.9, 58.3, 47.3, 51.8, 42.8, 32
69, 2010-03-11, 55.8, 60.4, 51.2, 64.2, 70, 58.4, 47.4, 51.9, 42.9, 31.6
70, 2010-03-12, 55.8, 60.4, 51.2, 64.2, 70.1, 58.3, 47.5, 52, 43, 31.2
71, 2010-03-13, 55.9, 60.5, 51.3, 64.3, 70.2, 58.4, 47.5, 52, 43, 30.7
72, 2010-03-14, 56, 60.6, 51.4, 64.4, 70.3, 58.5, 47.6, 52.1, 43.1, 30.3
73, 2010-03-15, 56.1, 60.7, 51.5, 64.5, 70.4, 58.6, 47.6, 52.1, 43.1, 29.9
74, 2010-03-16, 56.1, 60.8, 51.4, 64.5, 70.5, 58.5, 47.7, 52.2, 43.2, 29.4
75, 2010-03-17, 56.2, 60.9, 51.5, 64.6, 70.6, 58.6, 47.8, 52.3, 43.3, 29
76, 2010-03-18, 56.3, 61, 51.6, 64.7, 70.7, 58.7, 47.8, 52.3, 43.3, 28.6
77, 2010-03-19, 56.3, 61, 51.6, 64.8, 70.9, 58.7, 47.9, 52.4, 43.4, 28.1
78, 2010-03-20, 56.4, 61.1, 51.7, 64.8, 70.9, 58.7, 47.9, 52.4, 43.4, 27.7
79, 2010-03-21, 56.5, 61.2, 51.8, 64.9, 71.1, 58.7, 48, 52.4, 43.6, 27.3
80, 2010-03-22, 56.5, 61.2, 51.8, 65, 71.2, 58.8, 48.1, 52.5, 43.7, 26.9
81, 2010-03-23, 56.6, 61.4, 51.8, 65, 71.2, 58.8, 48.1, 52.5, 43.7, 26.5
82, 2010-03-24, 56.7, 61.5, 51.9, 65.1, 71.4, 58.8, 48.2, 52.6, 43.8, 26.1
83, 2010-03-25, 56.7, 61.5, 51.9, 65.2, 71.5, 58.9, 48.3, 52.7, 43.9, 25.7
84, 2010-03-26, 56.8, 61.6, 52, 65.3, 71.7, 58.9, 48.3, 52.7, 43.9, 25.3
85, 2010-03-27, 56.9, 61.7, 52.1, 65.3, 71.7, 58.9, 48.4, 52.8, 44, 24.9
86, 2010-03-28, 56.9, 61.7, 52.1, 65.4, 71.8, 59, 48.5, 52.9, 44.1, 24.5
87, 2010-03-29, 57, 61.8, 52.2, 65.5, 71.9, 59.1, 48.5, 52.9, 44.1, 24.1
88, 2010-03-30, 57.1, 61.9, 52.3, 65.6, 72.1, 59.1, 48.6, 53, 44.2, 23.7
89, 2010-03-31, 57.2, 62, 52.4, 65.7, 72.2, 59.2, 48.7, 53, 44.4, 23.3
90, 2010-04-01, 57.3, 62.1, 52.5, 65.8, 72.3, 59.3, 48.8, 53.1, 44.5, 22.9
91, 2010-04-02, 57.4, 62.2, 52.6, 65.9, 72.4, 59.4, 48.8, 53.1, 44.5, 22.6
92, 2010-04-03, 57.4, 62.3, 52.5, 66, 72.6, 59.4, 48.9, 53.2, 44.6, 22.3
93, 2010-04-04, 57.5, 62.4, 52.6, 66.1, 72.7, 59.5, 49, 53.3, 44.7, 22
94, 2010-04-05, 57.6, 62.5, 52.7, 66.2, 72.8, 59.6, 49.1, 53.4, 44.8, 21.8
95, 2010-04-06, 57.7, 62.6, 52.8, 66.3, 73, 59.6, 49.2, 53.5, 44.9, 21.5
96, 2010-04-07, 57.8, 62.7, 52.9, 66.4, 73.1, 59.7, 49.3, 53.6, 45, 21.2
97, 2010-04-08, 57.9, 62.8, 53, 66.5, 73.3, 59.7, 49.4, 53.7, 45.1, 21
98, 2010-04-09, 58, 62.9, 53.1, 66.6, 73.4, 59.8, 49.4, 53.7, 45.1, 20.8
99, 2010-04-10, 58.1, 63, 53.2, 66.7, 73.5, 59.9, 49.5, 53.8, 45.2, 20.6
100, 2010-04-11, 58.2, 63.2, 53.2, 66.8, 73.7, 59.9, 49.6, 53.8, 45.4, 20.4
101, 2010-04-12, 58.3, 63.3, 53.3, 67, 73.9, 60.1, 49.7, 53.9, 45.5, 20.2
102, 2010-04-13, 58.4, 63.4, 53.4, 67.1, 74.1, 60.1, 49.8, 54, 45.6, 19.9
103, 2010-04-14, 58.6, 63.6, 53.6, 67.2, 74.2, 60.2, 49.9, 54.1, 45.7, 19.7
104, 2010-04-15, 58.7, 63.7, 53.7, 67.3, 74.4, 60.2, 50, 54.2, 45.8, 19.4
105, 2010-04-16, 58.8, 63.8, 53.8, 67.4, 74.5, 60.3, 50.1, 54.3, 45.9, 19.1
106, 2010-04-17, 58.9, 63.9, 53.9, 67.6, 74.7, 60.5, 50.2, 54.3, 46.1, 18.9
107, 2010-04-18, 59, 64, 54, 67.7, 74.9, 60.5, 50.3, 54.4, 46.2, 18.6
108, 2010-04-19, 59.1, 64.2, 54, 67.8, 75, 60.6, 50.4, 54.5, 46.3, 18.3
109, 2010-04-20, 59.2, 64.3, 54.1, 67.9, 75.1, 60.7, 50.5, 54.6, 46.4, 18
110, 2010-04-21, 59.3, 64.4, 54.2, 68.1, 75.3, 60.9, 50.6, 54.7, 46.5, 17.7
111, 2010-04-22, 59.5, 64.6, 54.4, 68.2, 75.5, 60.9, 50.7, 54.7, 46.7, 17.4
112, 2010-04-23, 59.6, 64.7, 54.5, 68.3, 75.6, 61, 50.8, 54.8, 46.8, 17.1
113, 2010-04-24, 59.7, 64.8, 54.6, 68.4, 75.7, 61.1, 50.9, 54.9, 46.9, 16.8
114, 2010-04-25, 59.8, 64.9, 54.7, 68.5, 75.8, 61.2, 51, 55, 47, 16.4
115, 2010-04-26, 59.9, 65, 54.8, 68.7, 76, 61.4, 51.1, 55.1, 47.1, 16.1
